intersection,direction,l,t,r,i,intersection,direction,l,t,r,i
TCB1200,sb,9.5,7.2,,,TCB1200,sb,A,A,,
TCB1200,wb,9.5,,8.3,,TCB1200,wb,A,,A,
TCB1200,nb,,9.5,9.5,,TCB1200,nb,,A,A,
TCB1200,intersection,,,,8.8,TCB1200,intersection,,,,A
TCBTCD,sb,12.2,6.3,,,TCBTCD,sb,B,A,,
TCBTCD,wb,11,,-,,TCBTCD,wb,B,,-,
TCBTCD,nb,,13.2,-,,TCBTCD,nb,,B,-,
TCBTCD,intersection,,,,11.2,TCBTCD,intersection,,,,B
UA1200,sb,4.2,8.9,5.4,,UA1200,sb,A,A,A,
UA1200,wb,65.9,0,63.1,,UA1200,wb,E,A,E,
UA1200,nb,7.2,0.2,0.1,,UA1200,nb,A,A,A,
UA1200,eb,70.1,60.7,67.8,,UA1200,eb,E,E,E,
UA1200,intersection,,,,11.3,UA1200,intersection,,,,B
UATCD,sb,71.7,2.9,0.2,,UATCD,sb,E,A,A,
UATCD,wb,90.4,47.2,51.9,,UATCD,wb,F,D,D,
UATCD,nb,80.8,17.8,15,,UATCD,nb,F,B,B,
UATCD,eb,74.3,55.9,71.7,,UATCD,eb,E,E,E,
UATCD,intersection,,,,25.9,UATCD,intersection,,,,C
UASITE,sb,,-,-,,UASITE,sb,,-,-,
UASITE,nb,60.7,-,,,UASITE,nb,F,-,,
UASITE,eb,32.2,,-,,UASITE,eb,D,,-,
UASITE,intersection,,,,1,UASITE,intersection,,,,
1200SITE,wb,,-,,,1200SITE,wb,,-,,
1200SITE,nb,,,9.8,,1200SITE,nb,,,A,
1200SITE,eb,,-,-,,1200SITE,eb,,-,-,
1200SITE,intersection,,,,1.1,1200SITE,intersection,,,,
