intersection,direction,l,t,r,i,intersection,direction,l,t,r,i
TCB1200,sb,9.3,7.1,,,TCB1200,sb,A,A,,
TCB1200,wb,9.3,,8.1,,TCB1200,wb,A,,A,
TCB1200,nb,,9.1,9.1,,TCB1200,nb,,A,A,
TCB1200,intersection,,,,8.8,TCB1200,intersection,,,,A
TCBTCD,sb,12.1,6.4,,,TCBTCD,sb,B,A,,
TCBTCD,wb,10.6,,-,,TCBTCD,wb,B,,-,
TCBTCD,nb,,13.2,-,,TCBTCD,nb,,B,-,
TCBTCD,intersection,,,,10.9,TCBTCD,intersection,,,,B
UA1200,sb,3.9,7.8,5.1,,UA1200,sb,A,A,A,
UA1200,wb,66.2,0,63.8,,UA1200,wb,E,A,E,
UA1200,nb,5.6,0.2,0.1,,UA1200,nb,A,A,A,
UA1200,eb,70.3,61.6,68.3,,UA1200,eb,E,E,E,
UA1200,intersection,,,,10.8,UA1200,intersection,,,,B
UATCD,sb,72.1,1.5,0.2,,UATCD,sb,E,A,A,
UATCD,wb,85.2,49.3,53.7,,UATCD,wb,F,D,D,
UATCD,nb,78.2,15.5,13.3,,UATCD,nb,E,B,B,
UATCD,eb,74.6,57.5,69.1,,UATCD,eb,E,E,E,
UATCD,intersection,,,,24.2,UATCD,intersection,,,,C
UASITE,sb,,-,-,,UASITE,sb,,-,-,
UASITE,nb,44.9,-,,,UASITE,nb,E,-,,
UASITE,eb,27.2,,-,,UASITE,eb,D,,-,
UASITE,intersection,,,,0.8,UASITE,intersection,,,,
1200SITE,wb,,-,,,1200SITE,wb,,-,,
1200SITE,nb,,,9.7,,1200SITE,nb,,,A,
1200SITE,eb,,-,-,,1200SITE,eb,,-,-,
1200SITE,intersection,,,,1.2,1200SITE,intersection,,,,
