intersection,direction,l,t,r,i,intersection,direction,l,t,r,i
TCB1200,sb,9.2,7.1,,,TCB1200,sb,A,A,,
TCB1200,wb,9.3,,8,,TCB1200,wb,A,,A,
TCB1200,nb,,9.1,9.1,,TCB1200,nb,,A,A,
TCB1200,intersection,,,,8.7,TCB1200,intersection,,,,A
TCBTCD,sb,12.1,6.4,,,TCBTCD,sb,B,A,,
TCBTCD,wb,10.5,,-,,TCBTCD,wb,B,,-,
TCBTCD,nb,,13.2,-,,TCBTCD,nb,,B,-,
TCBTCD,intersection,,,,10.8,TCBTCD,intersection,,,,B
UA1200,sb,3.2,6.6,4.3,,UA1200,sb,A,A,A,
UA1200,wb,70,0,67.3,,UA1200,wb,E,A,E,
UA1200,nb,4.6,0.2,0.1,,UA1200,nb,A,A,A,
UA1200,eb,71.4,64.6,73.6,,UA1200,eb,E,E,E,
UA1200,intersection,,,,9.6,UA1200,intersection,,,,A
UATCD,sb,72,1.3,0.2,,UATCD,sb,E,A,A,
UATCD,wb,85.2,49.3,53.6,,UATCD,wb,F,D,D,
UATCD,nb,77.9,15.3,13.3,,UATCD,nb,E,B,B,
UATCD,eb,74.6,57.5,69.1,,UATCD,eb,E,E,E,
UATCD,intersection,,,,24.2,UATCD,intersection,,,,C
