type,intersection,from,movement,los,x,y
movement,TCB1200,n,l,A,152,1357
movement,TCB1200,n,t,A,106,1384
movement,TCB1200,e,l,A,335,1307
movement,TCB1200,e,r,A,335,1344
movement,TCB1200,s,t,A,247,1124
movement,TCB1200,s,r,A,289,1146
movement,TCBTCD,n,l,F,179,450
movement,TCBTCD,n,t,F,133,469
movement,TCBTCD,e,l,A,362,392
movement,TCBTCD,e,r,F,362,429
movement,TCBTCD,s,t,F,274,209
movement,TCBTCD,s,r,F,316,231
movement,UA1200,n,l,A,1662,1412
movement,UA1200,n,t,A,1621,1448
movement,UA1200,n,r,A,1580,1412
movement,UA1200,e,l,E,1874,1421
movement,UA1200,e,t,A,1890,1389
movement,UA1200,e,r,E,1874,1357
movement,UA1200,s,l,A,1767,1198
movement,UA1200,s,t,A,1813,1165
movement,UA1200,s,r,A,1859,1198
movement,UA1200,w,l,E,1566,1256
movement,UA1200,w,t,E,1548,1220
movement,UA1200,w,r,E,1566,1183
movement,UATCD,n,l,E,1657,332
movement,UATCD,n,t,A,1616,369
movement,UATCD,n,r,A,1574,332
movement,UATCD,e,l,F,1868,341
movement,UATCD,e,t,D,1890,309
movement,UATCD,e,r,D,1868,277
movement,UATCD,s,l,E,1762,118
movement,UATCD,s,t,B,1808,85
movement,UATCD,s,r,B,1853,118
movement,UATCD,w,l,E,1561,176
movement,UATCD,w,t,E,1542,140
movement,UATCD,w,r,E,1561,103
intersection,TCB1200,,,A,850,1310
intersection,TCBTCD,,,F,665,275
intersection,UA1200,,,A,1255,1275
intersection,UATCD,,,C,1255,225
