intersection,direction,l,t,r,u,,intersection,direction,l,t,r,u
TCB1200,sb,en_0.06,,,,,TCB1200,sb,6% 1200S,0,,
TCB1200,wb,,,ex_0.06,,,TCB1200,wb,0,,6% 1200S,
TCB1200,nb,,,sum,,,TCB1200,nb,,0,sum,
TCB1200,eb,,,,,,TCB1200,eb,,,,
TCBTCD,sb,,,,,,TCBTCD,sb,0,0,,
TCBTCD,wb,ex_0.09,,sum,,,TCBTCD,wb,9% sp,,sum,
TCBTCD,nb,,en_0.09,,,,TCBTCD,nb,,9% 1200 S,0,
TCBTCD,eb,,,,,,TCBTCD,eb,,,,
UA1200,sb,,en_0.37,,,,UA1200,sb,0,37% UA,0,
UA1200,wb,,,,,,UA1200,wb,0,0,0,
UA1200,nb,,,,,,UA1200,nb,0,0,0,
UA1200,eb,ex_0.37,,sum,ex_0.06,,UA1200,eb,37% 1200S,0,splitA 1200S,6% 1200S
UATCD,sb,ex_0.05,ex_0.42,ex_0.09,,,UATCD,sb,5% sp,42% sp,9% sp,
UATCD,wb,,en_0.05_W,en_0.05_1-W,,,UATCD,wb,0,0.5*5% 1200S,5% UA,
UATCD,nb,en_0.42_N,en_0.42_1-N,,,,UATCD,nb,0.5*42% 1200S,42% UA,0,
UATCD,eb,,,,,,UATCD,eb,0,0,0,
UASITE,sb,,,en_0.37,,,,,,,,
UASITE,nb,sum,,,,,,,,,,
UASITE,eb,,,sum,,,,,,,,
1200SSITE,wb,,,,,,,,,,,
1200SSITE,nb,,,sum,,,,,,,,
1200SSITE,eb,,,sum,,,,,,,,
